tx_hash,from,block,timestamp,gasUsed,effectiveGasPrice,gasPaidWei,status,reserve0_before,reserve1_before,reserve0_after,reserve1_after
1271a12f62208f1ab6dfd7ca66fd0083a85653c48507a661c04054c2e5a88c17,0xA79C12BCf11133af01b6B20f16F8AafAECdEBC93,5421764,1749578528,528850,200000000,105770000000000,1,40652.888208850236,583403.330221,40630.200101966606,584082.080221
809add547ac8eccc54cc16fbffc9bced7d3c204718116253db674d4e4d3f25d0,0xb280671768a3C1b3D74475CCa845f8794dF93281,5421765,1749578529,236332,260303687,61518090956084,1,40571.888121682976,585702.710206,40547.908304214274,586581.710206
43efb397e4c7991710ccef7057ba940f31c803ce7c67cd820ade741ea8d2da44,0xB8B98f25147F3c3688312944f924DB0bfB68412F,5421971,1749578732,136896,200000000,27379200000000,1,40423.70477281132,591138.953391,40423.70477281132,591138.953391
3e456c90d7db59635c35169cfca795eb56b1a1392cbb34dab604cab448c5f406,0xB8B98f25147F3c3688312944f924DB0bfB68412F,5422027,1749578787,198080,200000000,39616000000000,1,40423.70477281132,591138.953391,40423.70477281132,591138.953391
1d45da48d9c2745a96c14c3a9b4accebd1e90ea4262913e84ec07ff7cf9fc2bf,0xA79C12BCf11133af01b6B20f16F8AafAECdEBC93,5422168,1749578926,497879,240000000,119490960000000,1,40355.73959334795,593636.382099,40355.73959334795,593636.382099
161cae9d545d3d3064bb13742a5f1ee659fcd0fabd332cda2ffba127811bb191,0xDa852FA51A72109ce652d4494f87117720aE382B,5422169,1749578927,261637,200799408,52536554710896,1,40349.44695477993,593867.503136,40349.44695477993,593867.503136
feb8db2ae170e928c36fd68734396eecd37bd2ae1a7e0eabb69ce88e18ca9533,0x88882650B93D87FBd405C1f41D01876c1E66caDB,5422183,1749578940,458233,194733371,89233256793443,1,40349.44695477993,593867.503136,40349.44695477993,593867.503136
0269a00b82ced27ec885c9d428fdfe10f299131ac286e0dba273a19b6926192d,0x5c0C955559135b4D51F88a34978BfF2696d184F5,5422184,1749578941,227412,5621103453,1278306378453636,1,40357.39219518725,593575.978076,40357.39219518725,593575.978076
c47382f184def9be14c1e63c46badf041b13beebc827e4eeaf4fb569ff8d975d,0x34B66899F8d319a06ce73Bb16CC679Fdd7C4Bd18,5422184,1749578941,283639,110000000,31200290000000,1,40357.39219518725,593734.978076,40353.06305752179,593734.978076
d2412f3dec1ba4c6cc7ab4fd2b241650445fceaee6dee41ade8cc9f131349d07,0xe18ca00dCAB461f9DA49bdD2F20fC7f3537f071A,5422338,1749579093,136942,200000000,27388400000000,1,40295.37371333199,595858.107382,40295.65277541095,595858.107382
