event,tx_hash,block,timestamp,log_index,token_0_balance_after,token_1_balance_after,sender,recipient,amount0,amount1,sqrtPriceX96,liquidity,tick,token_0_balance_before,token_1_balance_before
Swap,1271a12f62208f1ab6dfd7ca66fd0083a85653c48507a661c04054c2e5a88c17,5421764,1749578528,11,21794.67585934132,1179387.83436,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,62679804037233235,-2505875,500684859609271882943304,253293152038817,-239450,,
Swap,809add547ac8eccc54cc16fbffc9bced7d3c204718116253db674d4e4d3f25d0,5421765,1749578529,8,4.244621749359836,162.878377,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,-41589266438818455,1663486,501204925075932443418061,253293152038817,-239429,21794.67585934132,1179387.83436
Swap,43efb397e4c7991710ccef7057ba940f31c803ce7c67cd820ade741ea8d2da44,5421971,1749578732,3,4.254621749359836,162.478483,0x4E2960a8cd19B467b82d26D83fAcb0fAE26b094D,0xB8B98f25147F3c3688312944f924DB0bfB68412F,10000000000000000,-399894,501079840999259953238323,253293152038817,-239434,4.244621749359836,162.878377
Swap,3e456c90d7db59635c35169cfca795eb56b1a1392cbb34dab604cab448c5f406,5422027,1749578787,4,4.244631770022051,1177778.595309,0x4E2960a8cd19B467b82d26D83fAcb0fAE26b094D,0x4E2960a8cd19B467b82d26D83fAcb0fAE26b094D,-9989979337785596,399894,501204862228349965988057,253293152038817,-239429,4.254621749359836,162.478483
Swap,1d45da48d9c2745a96c14c3a9b4accebd1e90ea4262913e84ec07ff7cf9fc2bf,5422168,1749578926,10,4.144442475438903,166.899969,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-100189294583147514,4021592,502462156451047485937298,253293152038817,-239379,4.244631770022051,1177778.595309
Swap,161cae9d545d3d3064bb13742a5f1ee659fcd0fabd332cda2ffba127811bb191,5422169,1749578927,11,4.190210037318575,1176168.005465,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,45767561879672259,-1837769,501887316264272014360315,253293152038817,-239402,4.144442475438903,166.899969
Swap,feb8db2ae170e928c36fd68734396eecd37bd2ae1a7e0eabb69ce88e18ca9533,5422183,1749578940,4,4.490210037318575,153.119223,0x4E2960a8cd19B467b82d26D83fAcb0fAE26b094D,0x553f26E5BC83100E5603B754fA32b621a936C6d6,100000000000000000,-4000845,500635882234997552146255,253293152038817,-239452,4.190210037318575,1176168.005465
Swap,feb8db2ae170e928c36fd68734396eecd37bd2ae1a7e0eabb69ce88e18ca9533,5422183,1749578940,10,4.490210037318575,153.119223,0x4E2960a8cd19B467b82d26D83fAcb0fAE26b094D,0x553f26E5BC83100E5603B754fA32b621a936C6d6,100000000000000000,-3980943,499390673475109367226888,253293152038817,-239502,4.490210037318575,153.119223
Swap,feb8db2ae170e928c36fd68734396eecd37bd2ae1a7e0eabb69ce88e18ca9533,5422183,1749578940,16,4.490210037318575,153.119223,0x4E2960a8cd19B467b82d26D83fAcb0fAE26b094D,0x553f26E5BC83100E5603B754fA32b621a936C6d6,100000000000000000,-3961189,498151643648372971728927,253293152038817,-239551,4.490210037318575,153.119223
Swap,0269a00b82ced27ec885c9d428fdfe10f299131ac286e0dba273a19b6926192d,5422184,1749578941,4,21923.248272736146,1173444.097273,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,-239837784453875034,9543158,501135177905216883200934,253293152038817,-239432,4.490210037318575,153.119223
Swap,c47382f184def9be14c1e63c46badf041b13beebc827e4eeaf4fb569ff8d975d,5422184,1749578941,13,4.20986635294408,1173764.466251,0xEA1A08198D9F6271Defd91321b74422a779a9050,0xEA1A08198D9F6271Defd91321b74422a779a9050,-40505899920620336,1623027,501642594361676712552415,253293152038817,-239412,21923.248272736146,1173444.097273
Swap,d2412f3dec1ba4c6cc7ab4fd2b241650445fceaee6dee41ade8cc9f131349d07,5422338,1749579093,12,4.21486635294408,1174635.487878,0x4E2960a8cd19B467b82d26D83fAcb0fAE26b094D,0xe18ca00dCAB461f9DA49bdD2F20fC7f3537f071A,5000000000000000,-200321,501579935235966123993500,253293152038817,-239414,4.20986635294408,1173764.466251
Swap,11ebed75d085395333094d35a45ddef91fb8f9c36f52768cc0914e46d24c3269,5422444,1749579197,9,4.14019198100788,1174635.487878,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-74674371936199980,3000000,502517843124066528878436,253293152038817,-239377,4.21486635294408,1174635.487878
Swap,0814563af7c1970dbfc2994f3a8428482710bb12c7e4f51001eb9b0584cc071e,5422445,1749579198,9,21897.491397256304,165.116201,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,49026019844625777,-1968886,501901990483320150716926,253293152038817,-239401,4.14019198100788,1174635.487878
Swap,cf991d04dfd5afb9854aa3475ec909ad6ffb4a98c97577e8573ad82add79c473,5422589,1749579340,8,4.127049791727402,1175550.512325,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,0x1dA6b648B829ACBE15eb747c3468e1C55d7B92C0,-62168209125103321,2500000,502683580390070488121040,253293152038817,-239370,21897.491397256304,165.116201
Swap,4297c20c377ff3e88a01bc515d293e2096bdbd13e2e69f41eafa760980df101e,5422590,1749579341,3,4.186315046805142,165.235147,0xCCC5C030689364f80eA993565B8C4109E978809A,0xCCC5C030689364f80eA993565B8C4109E978809A,59265255077740060,-2381054,501938804865368030025605,253293152038817,-239400,4.127049791727402,1175550.512325
