tick,price_1_per_0,liquidityNet,L_active_after_tick
-887270,2.9395446283653923e-27,4148091399765644,4148091399765644
-667780,1.0003064211954249e-17,66222037512,4148157621803156
-414490,9.996040641477101e-07,1117260990348,4149274882793504
-317650,0.01604447476712992,33800766842484,4183075649635988
-317420,0.0164177552946428,2681112568010,4185756762203998
-316830,0.017415496952720634,14416534453816,4200173296657814
-312540,0.02674477135151953,-33800766842484,4166372529815330
-312310,0.027366998161882875,-2681112568010,4163691417247320
-311720,0.02903014843015127,-14416534453816,4149274882793504
-278550,0.8004459837895115,5759679794799,4155034562588303
-273440,1.3342752022989446,-5759679794799,4149274882793504
-269390,2.0004416399175513,161973383791757,4311248266585261
-262460,4.000155872362714,1200571161972,4312448837747233
-260220,5.004423038993529,524456239365512,4836905077112745
-258200,6.124591313457656,1277629655017,4838182706767762
-253290,10.007026352461997,1181878206040391,6020060912808153
-253240,10.057184266665509,2527196709206,6022588109517359
-252340,11.004262875076625,510779287918495,6533367397435854
-247660,17.571167234692652,25744185299608,6559111582735462
-247510,17.836708043839856,57871054340888,6616982637076350
-247390,18.052027105267474,1387300894058590,8004283531134940
-247250,18.306520054453326,131423695476968,8135707226611908
-247040,18.69500233989814,47716854375881,8183424080987789
-247020,18.732427886403737,1677104622817,8185101185610606
-246940,18.88288079623963,836695825961,8185937881436567
-246870,19.015518018767064,21683574943103,8207621456379670
-246860,19.0345420960512,17264172828350,8224885629208020
-246320,20.090611850345425,2086161517934,8226971790725954
-246190,20.353481612699152,17382134374,8226989172860328
-246010,20.723142769087076,3508085943264,8230497258803592
-246000,20.74387523975762,13540321517515,8244037580321107
-245630,21.525734741442385,52362807279,8244089943128386
-245570,21.655270893057438,15999191197830,8260089134326216
-245530,21.74206110189475,449985723856,8260539120050072
-245450,21.916686429612362,24391619600,8260563511669672
-245410,22.004524342222258,1542337628346,8262105849298018
-245320,22.203448933225918,27824828383423,8289930677681441
-245300,22.247898042968032,639613304687,8290570290986128
-245230,22.404171835899064,39718081258368,8330288372244496
-245070,22.765503464028342,729524492177,8331017896736673
-244970,22.99428908121601,10618924683325,8341636821419998
-244760,23.48225041673354,2165381684842,8343802203104840
-244670,23.694533899318582,70777526096190,8414579729201030
-244660,23.718239098601995,53405664988704,8467985394189734
-244630,23.789497086598956,98911797149,8468084305986883
-244580,23.90873646019377,366977988541136,8835062294528019
-244540,24.004558130615898,3777748294549490,12612810589077509
-244130,25.009148165682298,2783252849002862,15396063438080371
-244120,25.034168570966276,334322085240172,15730385523320543
-244090,25.109380077019818,321910938806,15730707434259349
-244020,25.28575350588057,1465157271535641,17195864705794990
-244000,25.336373084662,9924428881879,17205789134676869
-243880,25.642225715044294,63998749837314,17269787884514183
-243840,25.744994880844736,88584422891179,17358372307405362
-243740,26.003723379980038,303789178417073,17662161485822435
-243670,26.18637885939074,20200194833072,17682361680655507
-243640,26.26505201310544,4215278313617,17686576958969124
-243630,26.291328887544307,2725532726628,17689302491695752
-243610,26.343961528829134,139485242957880,17828787734653632
-243590,26.396699535458577,12683040657,17828800417694289
-243570,26.449543118363632,33212711584678,17862013129278967
-243560,26.4760045669509,3496810922943,17865509940201910
-243530,26.555547858836782,937459673103,17866447399875013
-243510,26.608709440381578,87437636189906,17953885036064919
-243490,26.661977446157096,2361005,17953885038425924
-243480,26.688651424693095,21033024584727,17974918063010651
-243410,26.87611797898492,325503743746982,18300421806757633
-243380,26.956863353225803,20052810849769,18320474617607402
-243370,26.983832350402924,515774005563569,18836248623170971
-243360,27.010828328716507,13691919802237146,32528168425408117
-243350,27.037851315159838,26927859343869,32555096284751986
-243320,27.11908259360634,110512162068675,32665608446820661
-243270,27.255010747495277,36971603696595,32702580050517256
-243260,27.282278026268777,404378859321970,33106958909839226
-243240,27.33689444976458,23087614737266,33130046524576492
-243200,27.44645552567886,32273754930884,33162320279507376
-243190,27.473914335403673,21432424217894,33183752703725270
-243180,27.501400616297975,1167838171604545,34351590875329815
-243160,27.556455701556658,78542184749165,34430133060078980
-243140,27.611621001653315,291200028411595,34721333088490575
-243100,27.72228312935907,29905637095265,34751238725585840
-243070,27.80557068330723,445793619229,34751684519205069
-243060,27.833388769834595,31390968142289,34783075487347358
-243040,27.88910846255647,12227289609378,34795302776956736
-243000,28.00088270725215,5145925274414728,39941228051371464
-242980,28.05693770627837,28269472731088,39969497524102552
-242950,28.141230681064314,496429398305859,40465926922408411
-242930,28.19756664285937,2809655422168,40468736577830579
-242920,28.225776901791516,12292440407135,40481029018237714
-242900,28.28228211676227,97376918519691,40578405936757405
-242890,28.310577129300455,297319155284779,40875725092042184
-242870,28.367252105943372,3482528177714,40879207620219898
-242860,28.395632126717427,213094051904961,41092301672124859
-242850,28.42404054028667,12018220073373,41104319892198232
-242840,28.452477375056677,228896728329708,41333216620527940
-242810,28.537958691053493,820773706855530,42153990327383470
-242800,28.566509495251108,24043098291162,42178033425674632
-242760,28.680998634504533,4515853537459,42182549279212091
-242750,28.709692543030744,51104024357285,42233653303569376
-242730,28.767166509275594,246447020290437,42480100323859813
-242720,28.79594662446246,301391950025040,42781492273884853
-242710,28.824755532719017,751412291849831,43532904565734684
